id,name,nba_player_id,overall,photo_url,player_page_url
"P0193","Chucky Hepburn","1642935","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642935.png","https://www.nba.com/player/1642935"
"P0194","Tyler Herro","1629639","86","https://cdn.nba.com/headshots/nba/latest/1040x760/1629639.png","https://www.nba.com/player/1629639"
"P0195","Buddy Hield","1627741","77","https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png","https://www.nba.com/player/1627741"
"P0196","Haywood Highsmith","1629312","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1629312.png","https://www.nba.com/player/1629312"
"P0197","Aaron Holiday","1628988","72","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","https://www.nba.com/player/1628988"
"P0198","Jrue Holiday","201950","","https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png","https://www.nba.com/player/201950"
"P0199","Ronald Holland II","1641842","","https://cdn.nba.com/headshots/nba/latest/1040x760/1641842.png","https://www.nba.com/player/1641842"
"P0200","DaRon Holmes II","1641747","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1641747.png","https://www.nba.com/player/1641747"
"P0201","Chet Holmgren","1631096","88","https://cdn.nba.com/headshots/nba/latest/1040x760/1631096.png","https://www.nba.com/player/1631096"
"P0202","Al Horford","201143","","https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png","https://www.nba.com/player/201143"
"P0203","Caleb Houstan","1631216","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1631216.png","https://www.nba.com/player/1631216"
"P0204","Jett Howard","1641724","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1641724.png","https://www.nba.com/player/1641724"
"P0205","Kevin Huerter","1628989","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1628989.png","https://www.nba.com/player/1628989"
"P0206","Jay Huff","1630643","","https://cdn.nba.com/headshots/nba/latest/1040x760/1630643.png","https://www.nba.com/player/1630643"
"P0207","Ariel Hukporti","1630574","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1630574.png","https://www.nba.com/player/1630574"
"P0208","De'Andre Hunter","1629631","80","https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png","https://www.nba.com/player/1629631"
"P0209","CJ Huntley","1643047","","https://cdn.nba.com/headshots/nba/latest/1040x760/1643047.png","https://www.nba.com/player/1643047"
"P0210","Bones Hyland","1630538","","https://cdn.nba.com/headshots/nba/latest/1040x760/1630538.png","https://www.nba.com/player/1630538"
"P0211","Oso Ighodaro","1642345","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642345.png","https://www.nba.com/player/1642345"
"P0212","Joe Ingles","204060","73","https://cdn.nba.com/headshots/nba/latest/1040x760/204060.png","https://www.nba.com/player/204060"
"P0213","Brandon Ingram","1627742","84","https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png","https://www.nba.com/player/1627742"
"P0214","Harrison Ingram","1631127","","https://cdn.nba.com/headshots/nba/latest/1040x760/1631127.png","https://www.nba.com/player/1631127"
"P0215","Kyrie Irving","202681","90","https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png","https://www.nba.com/player/202681"
"P0216","Jonathan Isaac","1628371","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1628371.png","https://www.nba.com/player/1628371"
"P0217","Jaden Ivey","1631093","","https://cdn.nba.com/headshots/nba/latest/1040x760/1631093.png","https://www.nba.com/player/1631093"
"P0218","GG Jackson","1641713","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1641713.png","https://www.nba.com/player/1641713"
